state,district,daily_cylinders,annual_cylinders,district_share
maharashtra,Thane,71122.50510162527,25959714.36209322,0.10962835730864835
west bengal,North Twenty Four Parganas,45030.76814972087,16436230.374648117,0.12130159581133154
karnataka,Bangalore,66869.89207776959,24407510.6083859,0.17362659949374892
maharashtra,Pune,60635.99859471194,22132139.48706986,0.09346443731431327
maharashtra,Mumbai Suburban,60170.13312848198,21962098.591895923,0.09274635144660313
west bengal,South Twenty Four Parganas,36718.02344507476,13402078.557452288,0.09890914638890216
west bengal,Barddhaman,34718.820535021114,12672369.495282708,0.09352379514341895
gujarat,Ahmadabad,35656.91599634379,13014774.338665485,0.13160742768863504
west bengal,Murshidabad,31957.730743296397,11664571.721303185,0.0860861117176997
rajasthan,Jaipur,28615.222471233028,10444556.202000055,0.09666417339318766
maharashtra,Nashik,39272.389353567385,14334422.114052095,0.060534531598196724
gujarat,Surat,30057.447293467747,10970968.262115728,0.11094014192325649
uttar pradesh,Allahabad,22355.6249085339,8159803.091614874,0.030673589836447454
west bengal,Paschim Medinipur,26602.730981861023,9709996.808379274,0.07166108537856013
bihar,Patna,19175.470611332894,6999046.773136506,0.06505154618040121
west bengal,Hugli,24828.848790966673,9062529.808702836,0.06688269164071936
andhra pradesh,Rangareddy,20223.44977951192,7381559.169521851,0.07851706810610298
west bengal,Nadia,23247.36150476195,8485286.949238112,0.06262256152403704
andhra pradesh,East Godavari,19679.581520927528,7183047.255138548,0.0764055123841272
bihar,Purbi Champaran,16748.038867541934,6113034.186652807,0.05681664069194536
west bengal,Purba Medinipur,22924.69392137139,8367513.281300557,0.06175337597846237
andhra pradesh,Guntur,18662.12464176472,6811675.494244123,0.07245525998173133
west bengal,Haora,21818.712259381355,7963829.974674195,0.058774138758004454
bihar,Muzaffarpur,15768.292399489785,5755426.725813772,0.053492914046409365
karnataka,Belgaum,33218.69989966527,12124825.463377824,0.08625182012368812
uttar pradesh,Moradabad,17916.387452095976,6539481.4200150315,0.02458262393938629
uttar pradesh,Ghaziabad,17577.129142999373,6415652.137194771,0.024117136158820444
maharashtra,Nagpur,29924.87587560042,10922579.694594154,0.04612625750765782
tamil nadu,Chennai,30585.450519640865,11163689.439668916,0.06693193233420824
uttar pradesh,Azamgarh,17322.830897166205,6322833.277465665,0.02376821994105741
uttar pradesh,Lucknow,17232.44185995435,6289841.278883337,0.023644199419846683
uttar pradesh,Kanpur Nagar,17200.265990840926,6278097.086656938,0.02360005172029213
maharashtra,Ahmadnagar,29214.875710071392,10663429.634176059,0.04503186197526484
andhra pradesh,Krishna,17247.845720050802,6295463.687818542,0.0669643553325287
west bengal,Kolkata,20229.172341956426,7383647.904814095,0.05449231687239108
uttar pradesh,Jaunpur,16873.38619288399,6158785.960402656,0.023151548183067167
bihar,Madhubani,14738.052576561206,5379389.19044484,0.04999789195404318
