RANKING,DISTRICT,STATE,POPULATION,GROWTH,SEX-RATIO,LITERACY,STATE_POPULATION,POPULATION_RATIO,CUSTOMERS_LAKH,EST_CUSTOMERS_LAKH,EST_CUSTOMERS
1,Thane,maharashtra,11060148.0,36.01 %,886,84.53,100887656.0,0.10962835730864834,317.1192,34.76525696703271,3476525.6967032715
2,North Twenty Four Parganas,west bengal,10009781.0,12.04 %,955,84.06,82519780.0,0.12130159581133154,271.2819,32.90692738473006,3290692.738473006
3,Bangalore,karnataka,9621551.0,47.18 %,916,87.67,55415190.0,0.17362659949374892,188.54621,32.736637289734276,3273663.728973428
4,Pune,maharashtra,9429408.0,30.37 %,915,86.15,100887656.0,0.09346443731431325,317.1192,29.639367589565165,2963936.7589565166
5,Mumbai Suburban,maharashtra,9356962.0,8.29 %,860,89.91,100887656.0,0.09274635144660313,317.1192,29.411648773665625,2941164.8773665624
6,South Twenty Four Parganas,west bengal,8161961.0,18.17 %,956,77.51,82519780.0,0.09890914638890215,271.2819,26.832261159759515,2683226.1159759513
7,Barddhaman,west bengal,7717563.0,11.92 %,945,76.21,82519780.0,0.09352379514341895,271.2819,25.371312841717465,2537131.2841717466
8,Ahmadabad,gujarat,7214225.0,24.03 %,904,85.31,54816245.0,0.131607427688635,127.77764,16.81648651652444,1681648.651652444
9,Murshidabad,west bengal,7103807.0,21.09 %,958,66.59,82519780.0,0.08608611171769968,271.2819,23.353603950389836,2335360.395038984
10,Jaipur,rajasthan,6626178.0,26.19 %,910,75.51,68548437.0,0.09666417339318766,183.81359,17.768188735784303,1776818.8735784304
11,Nashik,maharashtra,6107187.0,22.30 %,934,82.31,100887656.0,0.06053453159819671,317.1192,19.19666223279486,1919666.2232794862
12,Surat,gujarat,6081322.0,42.24 %,787,85.53,54816245.0,0.1109401419232565,127.77764,14.175669516218777,1417566.9516218777
13,Allahabad,uttar pradesh,5954391.0,20.63 %,901,72.32,194121100.0,0.030673589836447454,483.43195,14.828593348133973,1482859.3348133974
14,Paschim Medinipur,west bengal,5913457.0,13.86 %,966,78.0,82519780.0,0.07166108537856014,271.2819,19.440355397558015,1944035.5397558014
15,Patna,bihar,5838465.0,23.73 %,897,70.68,89751364.0,0.06505154618040122,229.37885,14.921448853582325,1492144.8853582325
16,Hugli,west bengal,5519145.0,9.46 %,961,81.8,82519780.0,0.06688269164071935,271.2819,18.144063665408463,1814406.3665408464
17,Rangareddy,andhra pradesh,5296741.0,48.16 %,961,75.87,67459740.0,0.07851706810610298,159.52103,12.525123576865697,1252512.3576865697
18,Nadia,west bengal,5167600.0,12.22 %,947,74.97,82519780.0,0.06262256152403703,271.2819,16.98836747310766,1698836.7473107663
19,East Godavari,andhra pradesh,5154296.0,5.16 %,1006,70.99,67459740.0,0.07640551238412718,159.52103,12.188286033193723,1218828.6033193723
20,Purbi Champaran,bihar,5099371.0,29.43 %,902,55.79,89751364.0,0.056816640691945364,229.37885,13.032535702781631,1303253.570278163
21,Purba Medinipur,west bengal,5095875.0,15.36 %,938,87.02,82519780.0,0.06175337597846237,271.2819,16.752573166851633,1675257.3166851632
